id,accreditations,alternate_name,date_incorporated,description,email,funding_sources,legal_status,licenses,name,tax_id,tax_status,website
133,,BPD,,"This is the main number to the Bremerton Police Department. They can provide information to callers who may have questions about law enforcement, complaints about officers, non-emergent needs or information about police programs.",,,,,"Bremerton Police Department",,,http://www.ci.bremerton.wa.us/display.php?id=26
134,,BSD,,"Provides information about Bremerton School District telephone numbers and locations, information regarding school closures, administration, attendance, athletics, parent teacher information, school supply lists, school boards, school musicals, etc.",,,,,"Bremerton School District",,,http://www.bremertonschools.org
135,,911,,"CENCOM handles 911 and non emergency calls for law enforcement, fire and EMS within Kitsap County.",,,,,"Kitsap Central Communications",,,http://www.kitsap911.org/
136,,COBI,,"Call the main number for information concerning any of the following: city clerk, public works director, water/ sewer/wastewater, building inspections, attorney, planning economic development, city council and police.",,,,,"City of Bainbridge Island",91-6001663,,http://bainbridgewa.gov/
137,,"Bryon Monohon",,"Call the main number for information concerning any of the following: city clerk or treasurer, public works director, water/ sewer/wastewater, building inspections, attorney, planning, economic development, city council, police and animal control.",,,,,"City of Forks",91-6001432,,http://www.forkswashington.org/
138,,,,"The City of Port Orchard consists of the following departments: Mayor, Council, and City Clerk's Office, Public Works/Engineering Department; Planning and Building Department, Municipal Court, Treasurer's Office, and the Police Department.",,,,,"City of Port Orchard",,,http://www.cityofportorchard.us
139,,"Port Townsend Library",,"Call the main number for information concerning any of the following: City Manager, City Clerk, City Attorney, Public Works, Development Services, Public Services, Finance, Library and Police",,,,,"City of Port Townsend",,,http://www.cityofpt.us
140,,,,"Call the main number for a department directory or general information regarding city services.",,,,,"City of Poulsbo",,,http://www.cityofpoulsbo.com/
141,,,,"Call the main number for information concerning any of the following: city clerk or treasurer, public works director, water/ sewer/wastewater, building inspections, attorney, planning economic development, city event coordinator, city council, police and animal control.",,,,,"City of Sequim",,,http://www.sequimwa.gov
142,,TCF,,"A self-help support group for parents/grandparents/siblings of deceased children of any age.  This is not an appropriate referral for siblings, children or spouses of deceased.  Call for more information.  This group meets in the fireside room of St. Luke's Episcopal Church.",,,,,"Compassionate Friends - North Olympic Peninsula Chapter",,,http://www.compassionatefriends.org
143,,UPSIDE,,"The Down Syndrome Support Group, UPSIDE, is a subgroup of the Down Syndrome Community of Seattle.  This group meets on Friday evenings once a month at 6:00 for dinner and 7-8:00 for a speaker presentation.  The Friday varies due to holidays and building availability. Call for dates and speaker topics.  This is a support group for the parents and relatives of children and young adults with Down syndrome.",,,,,"Down Syndrome Support Group of Kitsap and Surrounding Areas",911565600,,
144,,,,"Here are the numbers for the different divisions of the Jefferson County Courthouse",,,,,"Jefferson County Government",,,http://www.co.jefferson.wa.us
145,,,,"This is the contact information for the Jefferson County Library.",,,,,"Jefferson County Library",,,http://www.jclibrary.info/
146,,DVSA,,"Formerly DVSA Program of Jefferson County. Provides assistance for survivors of Domestic Violence, Sexual Assault and Crime. The agency offers advocacy-based counseling, children's advocacy, information/referral, legal advocacy and a 24-hour crisis line.",,,,,"Dove House Advocacy Services ",911195187,,http://www.dovehousejc.org
147,,,,"Services provided:  24/7 trained on-call volunteer will provide answers regarding Operation Uplift and the services available to women in our area. Community cancer awareness, education, instruction in self-breast exams,free breast health clinics and mammograms if needed. We have monthly events for women cancer survivors, workshops on cancer topics, monthly support meetings for women in Port Angeles. Annual ""Pink Up Port Angeles"", a week long cancer awareness celebration held in June of each year and sponsored by Soroptimist International of Port Angeles Noon Club.",,,,,"Operation Uplift",943031281,,http://www.operationuplift.org
148,,OC,,"Olympic College welcomes students from all walks of life and educational backgrounds. Almost half of Olympic College students are taking course to satisfy the first two years of a baccalaureate degree. Others are taking courses to prepare for employment, or retraining, or to update their job skills. Some students are involved in developmental courses or basic courses to get ready for college-level studies.

With a range of professional-technical programs, convenient locations, evening, day, and weekend courses, plus an increasing variety of learning options, Olympic College responds to a wide range of educational needs. OC also offers the services necessary to support successful learning experiences, such as advising, testing, orientation, admissions, and placement, among others.",,,,,"Olympic College",91-0823201,,http://www.olympic.edu
149,,KRC,,"The mission of Kitsap Recovery Center is to promote healthy lifestyles and communities through superior, responsive, cost-effective chemical dependency treatment services leading to improved quality of life for those involved in or affected by chemical dependency.  

Kitsap Recovery Center (KRC), located in East Bremerton, provides both inpatient and outpatient substance abuse treatment services.  KRC is state-approved and utilizes the American Society of Addiction Medicine (ASAM) treatment criteria.  The facility houses 42 inpatient treatment beds and 8 sub acute detoxification beds and 4 triage beds. Employees include treatment staff, administrative support staff and two private consultants contracted to provide medical and dietary advice and assistance.  Annually, approximately 2,000 adult men and women receive chemical dependency treatment for drug and/or alcohol addiction. KRC serves primarily low-income and Medicaid-eligible clients.",,,,,"Kitsap Recovery Center",,,http://www.kitsapgov.com/hr/wsolympic/recoveryctr.htm
150,,,,"Contact the above number for specific Crescent school district telephone numbers and locations, information regarding school closures, administration, attendance, athletics, parent teacher information, school supply lists, school boards, school musicals, etc.",,,,,"Crescent School District",,,http://www.crescentschooldistrict.org
151,,DRC,,"Provides people with options for settling disputes themselves--out of court--voluntarily. Professionally trained volunteer mediators meet with clients to assist them in reaching mutually agreeable solutions.  The available programs: parent-youth mediation, victim-offender mediation, neighbor-neighbor community mediation, small claims court items, parenting plans, divorce and post-divorce matters, as well as foreclosure mediations.  The Center also offers a wide variety of trainings that help the community to better navigate their way through the inevitable conflicts in life.",,,,,"Dispute Resolution Center of Kitsap County",943125572,,http://www.kitsapdrc.org
152,,KRL,,"Public Library",,,,,"Kitsap Regional Library",911605136,,http://www.krl.org/
153,,"Quilcene Lions Club",,"The Lion's Club helps low income residents obtain eyeglasses, vision exams, and hearing aids. You will need to call to fill out an application.",,,,,"Quilcene Lions Club",,,
154,,"Quilcene High School",,"Quilcene School District is located in beautiful Quilcene, Washington, a small town nestled between the majestic Olympic Mountains and the scenic waters of the Hood Canal. Quilcene is a dynamic and caring community which takes pride in its small town charm. The Quilcene School District serves about 300 students from pre-school through 12th grade.",,,,,"Quilcene School District",,,http://www.quilcene.wednet.edu/
155,,"Forks Senior High",,"Contact the above number for specific Quileute Valley School District telephone numbers and locations, information regarding school closures, administration, attendance, athletics, parent teacher information, school supply lists, school boards, school musicals, etc.",,,,,"Quillayute Valley School District",,,http://www.qvschools.org/
156,,"Clallam County DEM",,"Emergency Management is the coordinating agency for all hazards in our county. Additionally, we do extensive public education in preparedness, conduct citizen disaster training and provide the materials.",,,,,"Clallam County Sheriff's Office - Emergency Management Division",91-600-1298,,http://www.clallam.net/EmergencyMgmt
157,,,,"This department works with the mitigation, prevention, response, emergency  preparedness and recovery aspects of a disaster in Jefferson County.  Public education in the form of presentations/handouts.  Call for further details on how they can serve you.",,,,,"Jefferson County Department of Emergency Management",,,http://www.co.jefferson.wa.us/JCDEM/
158,,"St Vinnies",,"St Vincent's operates services including a shelter for women and women with children, social services office, and a thrift store to support the social service programs.  The thrift stores low-cost clothing, household goods, furniture, books, and other daily living items.  The social services office can help with food, diapers, personal hygiene items, and clothing, and when funds are available help with rent and utilities assistance.",,,,,"St Vincent de Paul - Kitsap",,,
159,,"St. Vincent's",,"This agency provides emergency food, rent, utilities and other financial assistance as available.",,,,,"St Vincent de Paul - Clallam",,,
160,,OMP,,"Olympic Medical Center (Clallam County Public Hospital District No. 2) is a comprehensive, award-winning health care provider for more than 70,000 residents of Clallam County. It has served the community since its establishment on Nov. 1, 1951, and is governed by a seven-member, publicly elected board. OMC is a sole community hospital and rural referral center. It provides inpatient services at its 80-bed acute-care facility in Port Angeles, including a level-three trauma designated emergency department, surgical services, and labor and delivery. OMC’s outpatient services include cardiac, imaging, physical therapy and rehabilitation, laboratory, sleep medicine, surgical services, home health, physician clinics and comprehensive regional cancer care at locations in Port Angeles and Sequim.",,,,,"Olympic Medical Center",,,http://www.olympicmedical.org
161,,AAA,,"Kitsap County Aging and Long-Term Care (ALTC) is a Division of Kitsap County Human Services Department and is the state-designated Area Agency on Aging (AAA) for Kitsap County. ALTC can provide services for senior citizens and adults with disabilities that reside in Kitsap County either at the agency's office, client homes or within agencies throughout the county. The agency uses state and federal funding to determine eligibility for Aging services and provide continued case management for qualified individuals. When delivering services, the agency monitors and utilizes funding according to service needs of senior citizens and adults with disabilities and contract guidelines. ALTC helps individuals live as independently as they choose through needs assessment, advocacy, person-centered planning, caregiver support, community education, and in-home care services through Medicaid. There are also subcontracted services that we provided to individuals, such as Meals on Wheels, respite services for caregivers, and legal assistance.",,,,,"Kitsap County Division of Aging and Long-Term Care",,,http://www.agingkitsap.com/
162,,,,"Peninsula College provides educational opportunities in the areas of academic transfer, professional and technical, basic skills, and continuing education. The College also contributes to the cultural and economic enrichment of Clallam and Jefferson Counties.",,,,,"Peninsula College - Clallam",91-0824213,,http://www.pencol.edu
163,,"Long Lake County Park",,"Our department consists of facilities such as the courthouse campus and community centers; regional, heritage and community parks; and recreation, including community special events, classes, camps and more. Enjoy our parks, recreate often and visit our many facilities. The benefits are endless",,,,,"Kitsap County Parks and Recreation",,,http://www.kitsapgov.com/parks/
164,,JMHS,,"Jefferson Mental Health Services (JMHS) is a private, not-for-profit (501c3 status) community mental health center providing both mental health and behavioral health care services to children, families, adults and seniors in East Jefferson County, Washington State.  Its offices are located in Port Townsend, Washington; out-station services are provided in south county (Quilcene and Brinnon Washington).  Community based services are also provided in schools and other settings on an individualized basis.
	
JMHS programs are designed to assist individuals who are affected by mental illness or behavioral or emotional disorders to receive services necessary to maintain independent functioning.  Our services are tailored to the needs of each individual, including linkage with natural supports in the community.  Because of our commitment to mental health, JMHS collaborates with the community in providing preventive activities. 
	
JMHS is committed to the East Jefferson County community and to collaboration with other providers and community members so that the best possible services may be delivered to everyone's benefit.",,,,,"Jefferson Mental Health Services",,,http://www.jeffersonmhs.org/index.htm
165,,,,"The Neah Bay Tribal Senior Center offers a wide variety of activities and services.  From hot meals, day trips and many forms of outreach activities in the community.  This program is for (enrolled members of any tribe age 50 & over within the program service area. Eligibility will also include: spouse of eligible participant, handicapped & disabled in the same house hold of the eligible participant, volunteers who provide assistance during the meal hour to the program.) enrolled Elders of the Makah Nation or any elder who resides on the reservation.",,,,,"Neah Bay Tribal Senior Center",,,http://www.makah.com/
166,,"Kitsap Childrens Therapy",,"This agency has more than 20 years of experience working with children.  They do accept medical coupons.  Speech, language, occupational, and physical therapy is available in office or on site.  Please call for more information.",,,,,"Kitsap Children's Therapy",,,
167,,HBH,,"HarborCrest Behavioral Health offers a full continuum of addiction counseling services. 26 beds for Detoxification and Inpatient care (with several speciality tracks: Impaired Professional, Co-Occuring Disorders and gender specific care), Partial Hospitalization Program, Intensive Outpatient Program, Specialty Relapse groups, continuing care support groups, and ADIS (alcohol and drug information school).

We also offer Drug Screening services for employers and individuals needing drug screening. We offer both DOT and non-DOT testing, including alcohol, drug and hair testing as well as other harmful substances.",,,,,"Harborcrest Behavioral Health",,,http://harborcrestbh.org
168,,HAGH,,"Public Housing - Multi-Family Housing - Section 8 Voucher Program - Ocean Shores apartments.",,,,,"Housing Authority of Grays Harbor County",91-6001921,,
169,,KCHAF,,"The Q Center, a program of Q Youth Resources, is a safe place for youth ages of 13-20 who are lesbian, gay, bisexual, transgender, questioning (LGBTQ) and straight allies. We offer support, education, social activities, and more.

Our mission is to empower youth to make healthy choices and create safe spaces.
",,,,,"Q Youth Resources",943133107,,http://theqcenter.org
170,,KCDEM,,"This department works with the mitigation, prevention, response, emergency preparedness and recovery aspects of a disaster in Kitsap County.  Public education in the form of presentations, handouts and specialized training are their tools.  Call for further details on how they can serve you.",,,,,"Kitsap County Department of Emergency Management",,,http://www.kitsapdem.org
171,,2good2toss,,"Call the main number for information concerning any of the following: city clerk or treasurer, public works director, water/ sewer/wastewater, building inspections, attorney, planning economic development, city event coordinator, city council, police and animal control.",,,,,"City of Port Angeles",,,http://www.cityofpa.us
172,,"Brinnon Senior Center",,"Brinnon Community Center offers many activities such as sewing, crafts, games, and dinners.  Serving hot meals for dinner on Wednesday.  Must call ahead on the Kitchen line to reserve.",,,,,"Brinnon Community Center",911240695,,http://www.brinnoncommunity.blogspot.com
173,,KACE,,"Kitsap Adult Center for Education is a community based, non-profit agency whose mission is to provide adult educational opportunities that will improve the lives of students and the community.
    * Improving the literacy of one improves the literacy of the entire community.
    * Our local economy profits from a stronger workforce.
    * Our community benefits from stronger families.
    * Our children need educated parents who can earn living wages and help them in schools.",,,,,"Kitsap Adult Center for Education",911248678,,http://www.kacewa.org
174,,"St Lukes",,"Offers a free coats, socks, and shoes and a hot meal called ""Light Lunch"" served Saturday from 11:30am-1:30pm, for all those in need.",,,,,"St Luke's Episcopal Church",,,
175,,NKSC,,"The North Kitsap Senior Center has many activities for seniors. They do crafts, play cards, socialize, go on outings and more. Call for specific meeting times. There are fees for some projects, but they are minimal.",,,,,"North Kitsap Senior Center",,,
176,,APD,,"Law enforcement; Aberdeen City Police",,,,,"Aberdeen Police Department",,,http://www.aberdeenwa.gov
177,,CPD,,"Law Enforcement",,,,,"Cosmopolis Police Department",,,http://www.cityofcosmopolis.com/police
178,,EPD,,"Law Enforcement",,,,,"Elma Police Department",,,http://www.cityofelma.com
179,,GHSD,,"Sheriff's Department",,,,,"Grays Harbor Sheriff's Department",,,http://co.grays-harbor.wa.us/info/sheriff/index.htm
180,,HPD,,"Police Department",,,,,"Hoquiam Police Department",,,http://cityofhoquiam.com/our-departments/hoquiam-police-department/
181,,,,"Law Enforcement",,,,,"McCleary Police Department",,,http://www.cityofmccleary.com
182,,,,"Law Enforcement",,,,,"Montesano Police Department",91-6001259,,http://www.montesano.us/police.htm
183,,,,"Law enforcement.",,,,,"Taholah Police Department",,,
184,,,,"Law Enforcement.",,,,,"Westport Police Department",,,http://ci.westport.wa.us/police.html
185,,HHCC,,"Habitat for Humanity works in partnership with local low-income families and individuals to build and renovate decent, affordable housing.",,,,,"Habitat for Humanity of Clallam County",911535386,,http://www.habitatclallam.org
186,,"Habitat Store",,"Habitat for Humanity of East Jefferson County partners with low-income families to build and repair simple, decent homes. Local families partner with Habitat by contributing sweat equity hours and committing to repay a no-or-low interest loan to build a new home or repair an existing home.",,,,,"Habitat for Humanity of East Jefferson County",911885667,,http://www.habitatejc.org
187,,"The Habitat Store",,"This is a VOLUNTEER organization located in Kitsap. Assists qualifying low income families in building homes. To qualify applicants must apply and then go through the screening process. The process includes a credit check, work history, and meeting income guidelines.  An agreement is made to help build the applicant's home as well as other Habitat homes. Call the above number to volunteer. The Kitsap Habitat web site address is: www.kitsaphabitat.org.",,,,,"Habitat for Humanity of Kitsap County",91-1981992,,http://www.kitsaphabitat.org
188,,"7th Street",,"Our Mission:  A strong, coordinated, locally focused, quality healthcare system providing personalized services.
",,,,,"Jefferson Healthcare",,,http://www.jeffersonhealthcare.org
189,,PROA,,"Rental owners or tenants may call the office to get answers to their questions concerning landlord/tenant law.",,,,,"Puget Rental Owners Association",911281882,,http://www.theproa.com
190,,JCAS,,"Operates an animal shelter for lost, abandoned or unwanted pets. Offers adoption services for people wanting an animal and educational pamphlets for pet owners. Call for information on adopting an animal or dog licensing, euthanasia and cremation services.",,,,,"Humane Society of Jefferson County",263626034,,http://hsjcwa.org/index.html
191,,,,"Visitor information concerning usage of the park.",,,,,"Olympic National Park",,,http://www.nps.gov/olym
192,,"Patty Lent",,"Provides administrative services for the city of Bremerton.",,,,,"City of Bremerton",,,http://www.bremertonwa.gov
193,,"Clallam County Courthouse",,"Through this number you can access the following services: auditor, marriage license, vehicle license, clerk of superior court, commissioners, coroner, district court info, elections, parks department, passport, prosecuting attorney, and juvenile division.",,,,,"Clallam County Government",,,http://www.clallam.net
194,,YWCA,,"Health and well-being center includes fitness equipment, dance studio with classes, gymnasium, racquetball, dry saunas and showers, etc. The Y provides many youth activities including after-school programs, sports, art, horseback riding, camps, sailing, rowing and teen mentoring programs.  Programs are available to meet the needs and interests of families and individuals of all ages.  
Financial Assistance is available.",,,,,"Olympic Peninsula YMCA",910652924,,http://www.ccfymca.org
195,,FGLC,,"The Family of God Church has ministries for clothing and lunches.  We serve on Monday from 12noon - 2pm.  Clothing is available at the same time.  All are welcome.",,,,,"Family of God Lutheran Church",,,http://www.myfamilyofgod.org
196,,FPD,,"This is the non-emergency phone number to the Forks Police.  If you are experiencing an emergency call 911.",,,,,"Forks Police Department",,,http://www.forkswashington.org/police-corrections
197,,"Sheriff's Office of Kitsap County",,"General service law enforcement agency serving unincorporated Kitsap County.  Drug issues are handled by regional drug task force, WestNET.",,,,,"Kitsap County Sheriff's Office",,,http://www.kitsapsheriff.com
198,,911,,"Provides law enforcement, emergency communications, and other crime prevention services to the city of Port Angeles.",,,,,"Port Angeles Police Department",,,http://wa-portangeles.civicplus.com/288/Police-Department
199,,PTPD,,"This is the police department for Port Townsend. Call for information regarding a local case or for information. EMERGENCY--Dial 911.",,,,,"Port Townsend Police Department",,,http://www.cityofpt.us/Police/
200,,911,,"This is the non-emergency phone number to the Sequim Police.  If you are experiencing an emergency call 9-1-1.",,,,,"Sequim Police Department",,,http://www.sequimwa.gov/index.aspx?NID=111
201,,,,"Peninsula Services is a non-profit United Way funded agency that provides job training and employment opportunities for persons with disabilities.  Most participants are referred to our services by other organizations such as DVR, DDD or DSHS and there are no fees charged to the individual.  Peninsula Services has an array of comprehensive rehabilitative and supportive programs that are based on the belief that persons with disabilities grow and develop; that persons with disabilities can work and want to work; and they should be provided with support that accentuates the individual's talents, choice, respect and dignity in pursuing life options. Training opportunities include retail services at The Gift Garden store in Bremerton, Grounds Maintenance at sites throughout Naval Base Kitsap, Shelf Stocking at on-base commissaries and at the agency-run Servmart Supply Stores in Bremerton and Oak Harbor, and training at other community sites as well.  The main site is on Werner Rd. in Bremerton where the agency business office and Vocational Services offices are located.",,,,,"Peninsula Services",237147825,,http://www.peninsulaservices.org
202,,"Valley Food Bank",,"Provides food to persons in emergency situations. Provisions for 2-4 days are usually given.",,,,,"Port Angeles Food Bank",911192596,,
203,,PASD,,"The Port Angeles School District creates and sustains learning communities that prepare each student to live, work, and learn successfully in a changing world.",,,,,"Port Angeles School District",,,http://www.portangelesschools.org
204,,PTFB,,"Food bank for residents of Port Townsend.",,,,,"Port Townsend Food Bank",,,
205,,"Clallam Bay Assembly of God",,"Provides food for people in the Clallam Bay & Sekiu area at the Clallam Bay Assembly of God.",,,,,"New Hope Food Bank",,,
206,,NKSD,,"Contact the above number for specific North Kitsap school telephone numbers and locations, information regarding school closures, administration, attendance, athletics, parent teacher information, school supply lists, school boards, school musicals, etc.",,,,,"North Kitsap School District",,,http://www.nkschools.org
207,,PTSD,,"Port Townsend school staff, parents, students and community create a safe, respectful environment where all students are challenged to become learners, achievers and responsible citizens.",,,,,"Port Townsend School District",91-1061251,,http://www.ptschools.org/
208,,QCC,,"This is the food bank for Quilcene area residents.  It is open on Wednesdays from 11am-2pm, but if there is an urgent need for food, they will accommodate. You MUST be a resident of Quilcene and there is no limit on access.",,,,,"Quilcene Community Center",,,
209,,"Sequim Community Food Bank",,"Provides supplemental food and cooking ingredients to senior citizens and families in need who reside within the Sequim School District boundaries.",,,,,"Sequim Food Bank",911215709,,http://sequimfoodbank.org
210,,"Sequim High School",,"On behalf of the Sequim Community, the School District shall inspire and achieve excellence in the academic, creative, and physical potential of each student.",,,,,"Sequim School District",,,http://www.sequim.k12.wa.us/
211,,SKSD,,"The students, staff, parents and community of South Kitsap all play a vital role in our district's success as a center of learning. In order to nurture growth, inspire achievement and build community we will: value and develop the gifts, talents and abilities of all our students through a caring and devoted partnership with our community; foster a dynamic, responsive and nurturing learning environment that empowers our students to achieve their full potential through academic success, productive citizenship and personal responsibility; focus on student learning by embracing diversity, encouraging creativity and real-world experience, and ensuring mutual respect and equal opportunities; graduate highly skilled, motivated students who will thrive and contribute to the world community; and hold ourselves accountable to our community to establish and maintain a tradition of excellence that is evident in the success of our students.",,,,,"South Kitsap School District",,,http://www.skitsap.wednet.edu/
212,,,,"This is the telephone number of the sheriff's office dispatch in Clallam County. 360-417-2459. For emergencies dial: 911.",,,,,"Clallam County Sheriff's Office",,,http://www.clallam.net/sheriff
213,,CCHS,,"Provides shelter for lost, abandoned and unwanted animals.",,,,,"Olympic Peninsula Humane Society",916001724,,http://ophumanesociety.org
214,,KCHS,,"Kitsap Humane Society is a shelter for lost, abandoned and unwanted animals. Some of those animals then become available for adoption. The Society also investigates animal cruelty and assists in emergency animal rescues. They have educational programs for schools and the general public and also do animal assisted therapy, where pets are shared with nursing home residents. You can also search for your lost pet online. This agency also takes donated vehicles. For details, contact Larry Bleich at x 1224.",,,,,"Kitsap Humane Society",910728353,,http://www.kitsaphumane.org
215,,PPD,,"This is the business number to the Poulsbo Police Department. If you have questions regarding police matters within the city limits of Poulsbo call this number. EMERGENCY--DIAL 911",,,,,"Poulsbo Police Department",,,http://www.cityofpoulsbo.com/police/police.htm
216,,VIPS,,"Offers a visual impairment and blindness support group which meets the second Wednesday of every month at the Bainbridge Island Library.",,,,,"Bainbridge Island Visually Impaired Persons Support Group",,,
217,,"CareNet Pregnancy Center",,"My Choices is a pregnancy, medical, resource center providing pregnancy testing, obstetrical ultrasounds, accurate medical information on all options, and an education based resource incentive program. Available resources include maternity clothing, layettes, formula, diapers, clothing - sizes infant to 2T, and baby furniture. My Choices provides medical and social services referrals and post abortion support. All services are free and confidential.",,,,,"My Choices - Pregnancy Medical Resources",91-1266330,,http://www.mychoices.org
218,,BFD,,"This is the Fire District that serves the City of Bremerton. EMERGENCY--Dial 911.",,,,,"Bremerton Fire Department",,,http://www.ci.bremerton.wa.us/display.php?id=25
219,,HRB,,"The Housing Resources Board is an independent, non-profit, affordable housing provider and advocate serving Kitsap County.  HRB offers affordable rental housing on Bainbridge Island, affordable homeownership opportunities through a community land trust, and the HomeShare program which matches those with extra rooms in their homes with people who need lower cost housing, sometimes in exchange for services. HRB also offers the Independent Living program which serves those on Bainbridge Island who need modifications to their homes in order to remain there safely. The Teacher Rental Assistance Program is available to teachers and paraeducators on Bainbridge Island who work in K - 12th grade full time.",,,,,"Housing Resources Board",950068013,,http://www.housingresourcesbi.org
220,,PPGNW,,"Planned Parenthood of the Great Northwest (PPGNW) provides reproductive and sexual health services, including birth control, STD testing and treatment, breast and cervical cancer screenings, and more. PPGNW accepts insurance, Medicaid, and will also do a sliding scale adjustment. Call for more information.",,,,,"Planned Parenthood of the Great Northwest - Kitsap",910686012,,http://www.plannedparenthood.org/ppgnw/
221,,JCPHD,,"Jefferson County Public Health provides essential programs and services to help protect and improve the health of our community. Family Planning, W.I.C.nutrition services, immunizations, food handler's cards, foot care, disease prevention, STD and TB services, early childhood education programs, environmental concerns, developmental disabilities, birth/death records, and tobacco cessation.  Call above number for specific information and eligibility.
We are always working to make Jefferson County, Washington, a safer and healthier place to live, work and play.",,,,,"Jefferson County Public Health Department",,,http://www.jeffersoncountypublichealth.org/
222,,"Callam County Public Health",,"The Clallam County Department of Health and Human Services is dedicated to promoting and protecting the health, safety, and quality of life for all people in Clallam County.",,,,,"Clallam County Department of Health & Human Service",,,http://www.clallam.net/healthservices
223,,WSU,,"WSU Cooperative Extension has a long history in the lives of Kitsap County citizens, providing education, information and volunteer opportunities in horticulture, food safety and nutrition, youth 4-H, family development, agriculture and other programs as appropriate to the county residents changing needs.",,,,,"WSU Kitsap County Extension Office",300453487,,http://kitsap.wsu.edu/
224,,"Naval Hospital Bremerton - Bangor",,"This is the principle Naval health care facility in the area providing inpatient/outpatient services for eligible personnel. The facility provides comprehensive primary care along with a wide range of specialty services including 24-hour emergency care.  Additional services include: TRICARE information assistance, medical social work, expansive health promotions program, family advocacy program for spouse abuse, child abuse, neglect and sexual assault, treatment, case management and referral services.  Appointment number 1-800-404-4506.",,,,,"Naval Hospital Bremerton",,,
225,,"Al-Anon - Kitsap",,"This is a support group for people who need support and resources to help them deal with having an alcoholic in their lives. Meetings are available online as well. Information about adult and teen meetings are available through this number.",,,,,"Kitsap County Al-Anon",,,http://www.kitsap-al-anon.org
226,,"Port Townsend Alano Club",,"The Port Townsend Alano Club is a non-profit organization designed to bring a message of experience, strength and hope to those seeking recovery from alcohol and drug addiction.  The Club hosts approximately 25 Alcoholics Anonymous meetings a week.",,,,,"Alcoholics Anonymous District 56",,,http://www.alanon.com
227,,"Clallam County Alcoholic's Anonymous",,"This is a 12-step program designed to help people stop abusing alcohol.",,,,,"Alcoholics Anonymous District 22",,,http://www.nopaa.org
228,,"Jamestown Family Health Clinic",,"The Jamestown S’Klallam Tribe seeks to be self-sufficient and to provide quality governmental programs and services to address the unique social, cultural, natural resource and economic needs of our people. These programs and services must be managed while preserving, restoring and sustaining our Indian heritage and insuring community continuity.",,,,,"Jamestown S'Klallam Tribe",912007155,,http://www.jamestowntribe.org
229,,EJFR,,"This is the contact information for Jefferson County Fire District #1.",,,,,"East Jefferson Fire Rescue",,,http://www.ejfr.org/
230,,"Boys & Girls Clubs",,"Navy Youth Programs in association with Boys and Girls Club offers 2 Youth Centers. This is an after school program with all sorts of recreation and after school activities available as well as offering aid with homework.  One Youth Center is located in Jackson Park and the other Navy Youth Center is located in Bangor at the Admiral Boorda Center.  Operation times may vary, please call for more details.",,,,,"Boys and Girls Clubs of Naval Base Kitsap",911715919,,http://begreatwa.org
231,,PCHS,,"Comprehensive healthcare clinic - medical, dental, pharmacy, mental health and substance abuse. Accept all major insurance plans (especially all Apple Health Plans and Medicare Plans) and offer a sliding fee based on income for patients without insurance.  The PCHS mission is to providing access to affordable, compassionate, quality health care for our community.",,,,,"Peninsula Community Health Services",943079770,,http://www.pchsweb.org
232,,HFCC,,"Currently, Healthy Families provides child abuse prevention and treatment services, including parenting classes, support groups, educational clinics for divorcing parents, and in-home parent aides; domestic violence and sexual assault prevention, intervention, counseling, advocacy, and emergency and transitional shelter.  The agency's mission is to provide a wide range of services empowering Clallam County children, youth, adults and families to achieve their potential, improve their behavioral health, and live free of violence and abuse.",,,,,"Healthy Families of Clallam County",910840053,,http://www.healthyfam.org
233,,,,"Provide reliable, safe, comfortable public transportation service in Jefferson County which is cost effective, reduces energy consumption and contributes to the cultural and economic betterment of the residents of Jefferson County.",,,,,"Jefferson Transit",,,http://www.jeffersontransit.com
234,,"The Lords Diner",,"This service offers a free, hot meal every Saturday afternoon at St. Paul's Episcopal Church.  They also provide shower facilities for the homeless.  Blankets, towels, toiletries, tarps and some clothing is available to those in need.",,,,,"St Paul's Episcopal Church",,,http://www.stpaulsbremerton.org/
235,,"United States Department of Agriculture",,"This agency provides low and very low income home ownership and repair loans to qualified individuals from Clallam, Jefferson, and Kitsap Counties. Loans may be made to buy or repair an existing house or purchase a new house. Payment may be subsidized based on income. Grants based on need are available to seniors for essential repairs and guaranteed housing loans. For multi-family housing units, community facility loans, water and sewer grants or loans and guaranteed business and industry loans call the Olympia office at (360) 704-7760.",,,,,"USDA Rural Development",,,http://www.rurdev.usda.gov/wa
236,,,,"Provides shelter, utility payments, and van transportation to the VA hospital in Seattle. Transportation must be scheduled 7 days in advance.",,,,,"Veterans Service Center - Clallam",,,
237,,BSA,,"The Boy Scouts of America is one of the nation's largest and most prominent values-based youth development organizations. The BSA provides a program for young people that builds character, trains them in the responsibilities of participating citizenship, and develops personal fitness.",,,,,"Boy Scouts of America - Orca District",910569878,,http://www.seattlebsa.org/Orca
238,,BSA,,"This organization offers several different clubs.  Cub Scouts build family relationships through parent / child interactions.  The Boys Scouts works on preparing boys for adulthood through many forms of activities such as camping, hiking, plus clubs.  The Venturing program focuses on high adventure such as white water rafting, sea kayaking, mountain climbing, and scuba diving.  Call the above numbers to find out about times and locations.",,,,,"Boy Scouts of America - Mt Olympus District",910569878,,http://www.seattlebsa.org
239,,,,"The senior center has many daytime activities for senior citizens. The activities include: bingo, knitting, wood carving. Also offers foot care by appointment on certain Thursdays and Fridays.",,,,,"Givens Senior Center",,,
