id,location_id,program_id,accepted_payments,alternate_name,description,eligibility,email,fees,funding_sources,application_process,interpretation_services,keywords,languages,name,required_documents,service_areas,status,wait_time,website,taxonomy_ids
377,155,,,,"Assist veterans with their VA benefits claims. 

Assist veterans and their families with benefits.","Any honorably discharged veteran or any member of their immediate family.",cdr@post245.org,None.,,"Copy of the DD-214.
Any correspondents from the VA.

Depending upon the type of claim, other documents may be required. Such documents could include {not limited to}:

Marriage certificate; Death certificate; Birth Certificate; Adoption certificate
",,,,"Post Veterans Service Office",,Kitsap,active,,http://www.kitsapnow.com/al245poulsbo,"F,T,Y,FT,TD,YN,FT-1000,TD-1400,YN-9000,FT-1000.9000,TD-1400.2000,TD-1400.6500,TD-1400.8000,TD-1400.9000"
378,156,,,,"Washington State law and the Kitsap County code have established the Veterans Assistance Fund as a steady source of tax dollars to be utilized for the needs of indigent veterans and their families.  A portion of property tax collected in Kitsap County is earmarked for the VAF.

The overall goal is to assist all veterans-in-the-need back into mainstream society by ensuring they understand all the programs available to them.

Temporary emergency assistance is available for:
  Rental and mortgage assistance
  Energy or utilities assistance
  Food assistance
  Transportation assistance
  Medical and prescription coverage
  Burial or cremation assistance
  Auto repair
  Appliance repair
  Clothing","In order to be eligible applicants must have served honorably at least 180 days active duty, or be an immediate family member.  
Applicants with an other than honorable discharge are not eligible.
Applicant must be a resident of Washington State for at ",vsovfwpost2669@gmail.com,"Donations accepted.",,"Call the VFW Post to make an appointment for assistance.",,,,"Kitsap County Veterans Assistance Fund",,Kitsap,active,,http://www.kitsapgov.com/hr/wsolympic/veterans/VA.htm,"B,D,L,N,P,T,Y,BH,BM,BT,BV,DF,LH,NS,NT,PB,PH,TM,YN,BH-3800,BH-5000,BM-7000,BT-8300,BV-8900,DF-7020,LH-5100,NS-1000,NT-8900,PB-0900,PH-0700,TM-0500,TM-8200,YN-0500,YN-5000,YN-7000,YN-9000,BH-3800.5000,BH-3800.7000,BH-3800.7250,BM-7000.0350,BM-7000.0500,BT-8300.1000,BT-8300.2500,BV-8900.9300,DF-7020.0200,LH-5100.6500,NS-1000.9000,YN-0500.0300,YN-0500.0500,YN-0500.1500,YN-0500.5000,YN-0500.6000,YN-0500.6100,BV-8900.9300-180,BV-8900.9300-250,BV-8900.9300-300,BV-8900.9300-850,BV-8900.9300-950"
379,156,,,,"Operation Uplink is a unique program that keeps military personnel and hospitalized veterans in touch with their families and loved ones by providing them with a free phone card.","Deployed or Hospitalized Military Active Duty and Reserve and Hospitalized Veterans.",vsovfwpost2669@gmail.com,None.,,"Web site http://www.operationuplink.org/request.cfm
Email uplink@vfw.org
Phone: (816) 756-3390
Fax: (816) 968-1129
Mail
Operation Uplink, VFW National Headquarters
406 West 34th Street
Kansas City, MO 64111",,,,"Operation Uplink",,Kitsap,active,,http://www.operationuplink.org,"T,Y,TI,TM,YN,TI-1800,TM-8200,YN-0500,YN-9000,TI-1800.2500,YN-0500.0300,YN-0500.0500,YN-0500.1500,YN-0500.5000,YN-0500.6000,YN-0500.6100"
380,156,,,,"The Veterans of Foreign Wars has a rich tradition in enhancing the lives of millions through its community service programs and special projects. Including raising money for the World War II memorial, the VFW is there, ""honoring the dead by helping the living.""  The VFW asks for donations to help with their community service work.  Eligible individuals are invited to join.","Active Duty Military, Reservist, and Veterans with recognized campaign medal.",vsovfwpost2669@gmail.com,"Donations accepted.",,"Call for more information.",,,,"Veterans Service Club Post 2669",,Kitsap,active,,http://www.vfwpost2669.org,"T,Y,TM,YN,TM-0500,YN-0500,YN-5000,YN-7000,YN-9000,YN-0500.0300,YN-0500.0500,YN-0500.1500,YN-0500.5000,YN-0500.6000,YN-0500.6100"
381,157,,,,"Washington State law and the Kitsap County code have established the Veterans Assistance Fund as a steady source of tax dollars to be utilized for the needs of indigent veterans and their families.  A portion of property tax collected in Kitsap County is earmarked for the VAF.

The overall goal is to assist all veterans-in-the-need back into mainstream society by ensuring they understand all the programs available to them.

Temporary emergency assistance is available for:
  Rental and mortgage assistance
  Energy or utilities assistance
  Food assistance
  Transportation assistance
  Medical and prescription coverage
  Burial or cremation assistance
  Auto repair
  Appliance repair
  Clothing","In order to be eligible applicants must have served honorably at least 180 days active duty, or be an immediate family member.  
Applicants with an other than honorable discharge are not eligible.
Applicant must be a resident of Washington State for at ",info@vfwpost239.org,"Donations accepted.",,"Call the VFW Post to make an appointment for assistance.",,,,"Kitsap County Veterans Assistance Fund",,Kitsap,active,,http://www.kitsapgov.com/hr/wsolympic/veterans/VA.htm,"B,D,L,N,P,T,Y,BH,BM,BT,BV,DF,LH,NS,NT,PB,PH,TM,YN,BH-3800,BH-5000,BM-7000,BT-8300,BV-8900,DF-7020,LH-5100,NS-1000,NT-8900,PB-0900,PH-0700,TM-0500,TM-8200,YN-0500,YN-5000,YN-7000,YN-9000,BH-3800.5000,BH-3800.7000,BH-3800.7250,BM-7000.0350,BM-7000.0500,BT-8300.1000,BT-8300.2500,BV-8900.9300,DF-7020.0200,LH-5100.6500,NS-1000.9000,YN-0500.0300,YN-0500.0500,YN-0500.1500,YN-0500.5000,YN-0500.6000,YN-0500.6100,BV-8900.9300-180,BV-8900.9300-250,BV-8900.9300-300,BV-8900.9300-850,BV-8900.9300-950"
382,157,,,,"Operation Uplink is a unique program that keeps military personnel and hospitalized veterans in touch with their families and loved ones by providing them with a free phone card.","Deployed or Hospitalized Military Active Duty and Reserve and Hospitalized Veterans.",info@vfwpost239.org,None.,,"Web site http://www.operationuplink.org/request.cfm
Email uplink@vfw.org
Phone: (816) 756-3390
Fax: (816) 968-1129
Mail
Operation Uplink, VFW National Headquarters
406 West 34th Street
Kansas City, MO 64111",,,,"Operation Uplink",,Kitsap,active,,http://www.operationuplink.org,"T,Y,TI,TM,YN,TI-1800,TM-8200,YN-0500,YN-9000,TI-1800.2500,YN-0500.0300,YN-0500.0500,YN-0500.1500,YN-0500.5000,YN-0500.6000,YN-0500.6100"
383,157,,,,"The Veterans of Foreign Wars has a rich tradition in enhancing the lives of millions through its community service programs and special projects. Including raising money for the World War II memorial, the VFW is there, ""honoring the dead by helping the living.""  The VFW asks for donations to help with their community service work.  Eligible individuals are invited to join.","Active Duty Military, Reservist, and Veterans with recognized campaign medal.",info@vfwpost239.org,"Donations accepted.",,"Contact local VFW
Online at http://www.vfw.org/",,,,"Veterans Service Club Post 239",,Kitsap,active,,http://www.vfwpost239.org,"T,Y,TM,YN,TM-0500,YN-0500,YN-5000,YN-7000,YN-9000,YN-0500.0300,YN-0500.0500,YN-0500.1500,YN-0500.5000,YN-0500.6000,YN-0500.6100"
384,158,,,,"Provides education for students in Preschool through 2nd grade.","No restrictions.",lavonne_grimes@csd49.org,None.,,"Call for more information.",,,,"Chimacum Creek Primary",,Jefferson,active,,http://csd49.org/,"H,HD,HD-1800,HD-8000,HD-1800.6500,HD-8000.1800,HD-1800.6500-700,HD-8000.1800-400,HD-8000.1800-650"
385,158,,,,"Provides education for students in 3rd-5th grades.","No restrictions.",lavonne_grimes@csd49.org,None.,,"Call for more information.",,,,"Chimacum Elementary School",,Jefferson,active,,http://csd49.org/,"H,HD,HD-8000,HD-8000.1800,HD-8000.1800-330"
386,158,,,,"Provides education for students in 9th-12th grades.","No restrictions.",lavonne_grimes@csd49.org,None.,,"Call for more information.",,,,"Chimacum High School",,Jefferson,active,,http://chimacumhs.wordpress.com/main-chs-info/,"H,HD,HD-8000,HD-8000.8100"
387,158,,,,"Provides education for students in 6th-8th grades.","No restrictions.",lavonne_grimes@csd49.org,None.,,"Call for more information.",,,,"Chimacum Middle School",,Jefferson,active,,http://chimacumhs.wordpress.com/main-chs-info/,"H,HD,HD-8000,HD-8000.1800,HD-8000.1800-500"
388,158,,,,"Contact the above number for specific Chimacum School District telephone numbers and locations, information regarding school closures, administration, attendance, athletics, parent teacher information, school supply lists, school boards, school musicals, etc.","No restrictions.",lavonne_grimes@csd49.org,None.,,"Call for more information.",,,,"Chimacum School District",,Jefferson,active,,http://csd49.org/,"H,HD,HH,HD-8200,HH-9000,HH-9000.3000"
389,158,,,,"Provides an information hotline for information, school closures, delays, and other emergencies.  Information will be provided via this hotline, www.school.schoolreport.org television, and radio stations.","No restrictions.",lavonne_grimes@csd49.org,None.,,"Call for more information.",,,,"School Closure and Information Line",,Jefferson,active,,http://www.school.schoolreport.org,"T,TH,TH-2600,TH-2600.1500,TH-2600.1500-800"
390,159,,,,"This is a nutrition program for senior citizens, 60+ years of age. Donations of $3 are requested from seniors, but no one is refused if they are unable to donate. Those guests of seniors under the age of 60 are required to pay $7. Meal sites include: Bremerton, Port Orchard, East Bremerton, Burley, Poulsbo, Bainbridge Island, Silverdale, and Kingston. Meals can be delivered to seniors who are homebound for medical reasons, disabilities and chronic illnesses. There is an assessment process for the Meals On Wheels program.

Bainbridge Island 
M-F
Senior Community Center
370 Brien Drive


Bremerton-Manette
TH-F
Bremerton Senior Center
1140 Nipsic Avenue
 

East Bremerton
M-F
Pinewood Manor
280 Sylvan Way
 

Burley
M W F
Community Hall
14853 Burley Avenue SE


Kingston
T Th
Community Center
11212 NE State Hwy. 104

 
Port Orchard
M W
Village Green Apartments
3888 Madrona Drive SE
 

Port Orchard
T Th
Conifer Ridge Apartments
1751 Fircrest Drive SE


Poulsbo
M W F
NK Senior Center
18972 Front Street NE


Silverdale
T Th F
Silverdale United Methodist Church
9982 Silverdale Way NW


Asian Pacific                             
Silverdale Comm. Center 4th Sat. 1-4 PM
Schedule subject to change
9729 Silverdale Way NW

 
China Sun Buffet
4331 Bethel Road SE, Port Orchard
2nd  & 4th Thursday 12 Noon","Seniors 60 years or older.  Meals may be delivered to homebound seniors due to medical reasons, disabilities, and chronic illnesses.",dhorn@mealsonwheelskitsap.org,"Suggested donation is $3 no one turned down due to not being able to pay.  Guests of seniors will be asked to pay $7 per meal.",,"Call for more information.",,,,"Meals on Wheels",,Kitsap,active,,,"B,P,BD,PX,BD-5000,PX-2400,BD-5000.1470,BD-5000.1500,BD-5000.3500"
391,160,,,,"International support group for parents, grandparents, and adult siblings of deceased children of any age.  Provides emotional support to those going through the crisis of loss. Nondenominational. Books, pamphlets, newsletters, monthly meetings available. No fees. Meetings are held the 3rd Tuesday of each month at 7:00PM, in the Iris Room at Harrison Hospital Silverdale.","For parents, grandparents, and adult siblings of deceased children of any age.  Youth are not permitted at the meetings.",,None.,,"Call for more information.",,,,"Bereaved Parents Support Group",,Kitsap,active,,http://www.compassionatefriends.org,"P,PN,PN-8100,PN-8100.1000,PN-8100.1000-100"
392,161,,,,"Offers options for permanent and transitional clean and sober housing for homeless individuals, women with children, and single women.  

Sisyphus II Housing - This program provides permanent housing for 40 homeless individuals and families including their children in two 5-bedroom homes and 22 units leased in the community. Clean and sober housing coupled with chemical dependency treatment is the key to long term recovery.

Koinonia Inn Transitional Housing - This program provides transitional housing for six (6) pregnant and parenting women and up to eight (8) of their children.  This program provides housing for moms who would otherwise be homeless. Many of these mothers are in jeopardy of losing their children or have lost their children due to their chemical dependency. Licensed childcare is provided at this facility.

These programs are highly structured clean and sober housing with an emphasis on Relapse Prevention, Alcohol and Drug Education, Case Management, Crisis Counseling, Parenting in Recovery, to name a few. Easing back into the community is a challenge and these programs allow a successful path to aid in the process.","For homeless families, women with children, pregnant women, and single women requiring sober living conditions.",agapeunlimited@comcast.net,"Call for more information.",,"Call for more information.",,,,"Clean and Sober Transitional and Permanent Housing",,Kitsap,active,,http://www.agapekitsap.org,"R,RX,RX-8500,RX-8500.8000"
393,161,,,,"This program also has housing available for men and women and their families while they are undergoing treatment, whether the treatment is with them or with another center. 

Agape Unlimited provides:
  Drug and alcohol diagnostic evaluations
  DWI/DUI assessments
  Deferred prosecution programs
  Alcohol and drug information school
  Intensive outpatient, outpatient, group, individual, and family counseling. 
  Programs for pregnant/postpartum women
  Programs for DUI offenders and criminal justice clients
  Certified counselors are available for chemical dependency issues.  

Payment accepted: self-payment, WA Apple Health (Medicaid) & most private health insurance. 

Special language services: ASL or other assistance for the hearing impaired.","No restrictions.",agapeunlimited@comcast.net,"Accepts WA Apple Health (Medicaid), self pay, and most insurances.",,"Call or visit Agape for an application to one of our housing programs. Call or visit to schedule an evaluation or intake appointment for treatment services.",,,,"Outpatient Treatment Services",,Kitsap,active,,http://www.agapekitsap.org,"F,R,Y,FF,RX,YF,YH,YP,FF-0500,RX-0400,RX-8250,RX-8450,YF-8000,YH-6000,YP-1450,FF-0500.1800,RX-0400.1500,RX-0400.1600,RX-8250.0500,RX-8250.1700,RX-8450.1150,RX-8450.8000,YF-8000.0500,YF-8000.1800,YH-6000.6000,FF-0500.1800-050,YF-8000.0500-650,YF-8000.1800-680"
394,162,,,,"This is a support group for those who have ALS (Amyotrophic Lateral Sclerosis or Lou Gehrig Disease), family members and those interested in finding out more about this disease.  They meet on the first Thursday of the month.  Individuals at this phone number also travel to Clallam and Jefferson counties for home visits and resource information.","Individuals, family, friends, and those interested in ALS.",rebeccamooreed@alsa-ec.org,None.,,"Call for more information about the ALS support groups.  Call (253) 254-8909 for directions.",,,,"ALS Support Group",,"Clallam,Jefferson,Kitsap",active,,http://www.alsa-ec.org,"P,Y,PN,YF,PN-8100,YF-3000,PN-8100.3000,YF-3000.0520"
395,163,,,,"Provides animal licensing services unincorporated Kitsap County.  Licenses are purchased according to the address where the pet lives.","Residents of Kitsap County.",,"Dog: spayed/neutered and microchipped - $10 1yr, $20 3yr, $40 lifetime
Dog: spayed/neutered not microchipped - $25 1yr, $50 3yr
Dog: not spayed/neutered with microchipped - $50 1yr, $100 3yr, $200 lifetime
Dog: not spayed/neutered not microchipped - $6",,"Call for application or visit the website to download the required forms.",,,,"Animal Licensing",,Kitsap,active,,http://www.kitsapgov.com/petlicensing/,"P,PD,PD-0700,PD-9000,PD-0700.0600,PD-9000.6650"
396,163,,,,"The primary role of the Assessor's Office is to establish an assessed valuation of all real and personal property for tax purposes. The Assessor is required by law to assess all taxable property at 100% of market value.  These values are used to calculate and set levy rates for the various taxing districts in the county, and to equitably distribute tax responsibility among taxpayers.

The Assessor's office appraises property both by physical inspection and by market activity. Washington State Law mandates that property must be physically inspected at least once every six years, with annual review and update based on sales analysis","No restrictions.",,"Call for more information.",,"Call for more information.",,,,Assessor,,Kitsap,active,,http://www.kitsapgov.com,"D,DF,DT,DF-7000,DT-8700,DF-7000.4550,DT-8700.6500,DT-8700.6500-250,DT-8700.6500-600,DT-8700.6500-650"
397,163,,,,"The county auditor provides auditions services in elections, licensing, recording and financial services.

Election auditing includes federal, state, and local elections.  Maintains voter registration information for the citizens of Kitsap County
Licensing includes Auto, Vessel, and Pet licensing.  Covers renewal of registrations and other licensing documentation.  Pet licenses may also be purchased or updated.
Financial Services include timely and accurate fiscal and debt information, provides financial support functions to meet county goals.
Recording includes marriage and business licensing, records, plats, surveys, and condominums.  Provides means for public to view records.","No restrictions.",,"Varies depending upon license.",,"Call or walk in for more information.",,,,"Auditor and Vehicle Licensing",,Kitsap,active,,http://www.kitsapgov.com,"D,P,T,DF,PD,TD,DF-7000,PD-0700,TD-6600,DF-7000.1250,DF-7000.5500,PD-0700.0600,TD-6600.4500"
398,163,,,,"CASA volunteers are appointed by judges to watch over and advocate for abused and neglected children, to make sure they don’t get lost in the overburdened legal and social service system or languish in inappropriate group or foster homes. Volunteers stay with each case until it is closed and the child is placed in a safe, permanent home. For many abused children, their CASA volunteer will be the one constant adult presence in their lives.","Represents children 17 years of age and younger.  Volunteers must complete an application and training course.",,None.,,"Call for more information.",,,,"CASA - Court Appointed Special Advocates",,Kitsap,active,,http://www.kitsapgov.com/juv/casa/default.htm,"F,P,FJ,PX,FJ-2600,PX-1850"
399,163,,,,"The Coroner is an Elected Official with the responsibility for determining the Cause and Manner of Death of all persons who pass within the jurisdictional boundaries of Kitsap County. 
The Kitsap County Coroner's Office is instrumental in the investigation as well as the prevention of deaths. Coroner's Office personnel are involved in prevention groups such as Survivors of Suicide, Mothers against Drunk Drivers, Kitsap County Traffic Safety Task Force and  Reduce Under Age Drinking. For information about State wide deaths, including Kitsap County, Dept Of Health link: http://www.doh.wa.gov/Data/data.htm 
Kitsap County has very limited funds to assist for burials.  The person who passed away has to have NO family and NO assets, then the county will bury as cost to the county.","No restrictions.",,None.,,"Call for more information.",,,,Coroner,,Kitsap,active,,http://www.kitsapgov.com/coroner,"D,P,DF,PB,DF-7000,PB-0900,PB-1600,DF-7000.1700,DF-7000.1700-300"
400,163,,,,"Serves as the official record keeper for the Superior Court.  It is our mission to serve the courts and the citizens of Kitsap County in a manner best suited to provide quality, efficient, and effective service.","No restrictions.",,"Call for more information.",,"Call for more information.",,,,"County Clerk",,Kitsap,active,,http://www.kitsapgov.com,"D,F,P,T,DF,FJ,FT,PH,TD,DF-7000,FJ-1600,FT-3000,PH-6100,TD-6600,DF-7000.0100,DF-7000.1800,DF-7000.6650,FJ-1600.0300,FJ-1600.1800,FT-3000.6900,PH-6100.1600,TD-6600.4500"
401,163,,,,"Clallam County provides services as required by law or mandated by the public.  Through effective management of personnel and other resources, the County strives to provide the basic facilities and programs, which promote health, safety, and quality of life for its citizens.

Provide for the safety and security of county citizens
Improve and protect public health
Protect the environment and quality of life
Maintain and enhance county transportation systems
Support economic growth
Implement the comprehensive land use plan
Provide recreational opportunities and facilities
Provide infrastructure  to meet growth
Keep county government effective
Support the educational needs of county employees and provide educational outreach
Maintain a high level of customer service to citizens of Clallam County
Insure that state law mandates are carried out successfully and provide feedback to the state on the effectiveness of laws","No restrictions.",,None.,,"Call for more information.",,,,"County Commissioners",,Kitsap,active,,http://www.clallam.net,"T,TD,TD-6600,TD-6600.4500"
402,163,,,,"The Courthouse Facilitators assist pro se litigants (persons who are not represented by attorneys) in Domestic Relations cases in selecting and reviewing forms, and with procedural instructions.  The Facilitators offer assistance through a child support calculation service, walk-in visits, and/or one-on-one appointments.

Domestic Relations cases include:  Dissolution, Legal Separation, Invalidity, Paternity/Parentage, Establishing a Parenting Plan and/or Child Support with a Birth Affidavit, Non-Parent Custody, Modification of Parenting Plan, and Modification of Child Support.  The Facilitators can also assist with motions for temporary orders or contempt motions in domestic relations cases.","For cases involving dissolution, legal separation, invalidity, paternity/parentage, establishing a parenting plan and/or child support with a birth affidavit, non-parent custody, modification of parenting plan, and modification of child support.",,"$25 cash or money order for one-on-one appointments.  $25 for walk-in visits.  $10 for child support calculation.",,"To make an appointment, call 360-337-7260 between 8:00 a.m. and 4:30 p.m., Monday through Friday.  The appointment fee must be paid at the County Clerk’s Office before meeting with the Facilitator.  You will need to show your receipt to the Facilitator up",,,,"Courthouse Facilitators",,Kitsap,active,,http://www.kitsapgov.com/clerk/FamilyLaw/facilitat.htm,"F,FJ,FT,FJ-1600,FT-3000,FJ-1600.1550,FJ-1600.1800,FT-3000.1700,FT-3000.6500"
403,163,,,,"Provides court services that deal with traffic violations, small claims, gross misdemeanors, and preliminary hearings of felony charges.","Must be a resident of Kitsap county in need of court services.",,"Depends on services rendered.",,"Call or walk in for more information.",,,,"District Court",,Kitsap,active,,http://www.kitsapgov.com/dc,"F,FC,FC-8200,FC-8200.1500,FC-8200.8100,FC-8200.8100-140,FC-8200.8100-800,FC-8200.8100-900"
404,163,,,,"Elections and Voter Registration conducts federal, state, and local elections and maintains voter registration information for the citizens of Kitsap County.","Kitsap county residents.",,None.,,"Call for more information.",,,,"Elections and Voting",,Kitsap,active,,http://www.kitsapgov.com,"T,TQ,TQ-1800,TQ-1800.0500,TQ-1800.1600,TQ-1800.9000"
405,163,,,,"Provides a consolidated customer service center for the county that can answer most general inquiries and complaints for any county department.","No restrictions.",,None.,,"Call for information.",,,,"Kitsap 1 County Information Line",,Kitsap,active,,http://www.kitsapgov.com/pw/openline.htm,"D,T,DD,TD,TJ,DD-1500,TD-0300,TJ-3200,DD-1500.4150,DD-1500.8155,DD-1500.9535,TJ-3200.2500"
406,163,,,,"The Prosecuting Attorney of Kitsap County prosecutes all felonies and misdemeanors in Kitsap County, advise and represent all of the County’s elected officials and departments, provide legal advice to all county law enforcement agencies, establish and enforce child support obligations and provide victim and witness assistance services.","No restrictions.",,None.,,"Call for more information.",,,,"Prosecuting Attorney",,Kitsap,active,,http://www.kitsapgov.com/pros,"F,FJ,FN,FJ-6700,FN-1900,FJ-6700.1800,FN-1900.2500"
407,163,,,,"Provides advocacy services to victims of domestic violence.  Services include: assistance in filing for temporary domestic violence protection orders, information and referral to social service agencies, domestic violence information, advocacy, court preparation and accompaniment to full order hearings.  A DV protection order is a two part process which includes the filing of a temporary order and then a full protection order entered approximately 14 days later, if granted by the court.

Temporary Domestic Violence Protection Order: 
A civil order that restrains the abuser (respondent) from committing further acts of assault or violence against the person who has been victimized (petitioner). The petitioner (person seeking protection) must fill out a packet of forms that include providing a description of the acts of domestic violence that have occurred and the protections they are seeking.  They will be asked to describe the most recent incident of domestic violence or fear of imminent harm and a history of any other incidents of domestic violence.  Upon filing, the Petitioner should be prepared to provide the respondent's home and/or work address and birth date to help ensure that Law Enforcement can enter and serve the order on the respondent.  A judge or commissioner will review the paperwork, ask questions, and decide whether or not to grant the temporary order (for 14 days). 

Full Domestic Violence Protection Order: 
An order that is granted after the court determines by a ""preponderance of evidence"" that domestic violence has occurred.  At the full hearing, the Judge will give both parties (petitioner and respondent) the chance to talk about the allegations of domestic violence and whether the order should be granted or not.  The full order can be in effect for one year or longer, in some cases.  The process to obtain the full order may last for two to four hours, but the actual full hearing itself may only be about 15 to 30 minutes.

Any time prior to the expiration date, the petitioner may return to court and request that the order be modified (to be made more or less restrictive) or terminated. The petitioner may also request a renewal of the full order up to three months before its expiration date.

Other Types of Orders: (program does not provide assistance on these orders)

Criminal No Contact Order: This order is issued by the court in a criminal case involving domestic violence. An arrest or charges must be filed against the abuser for this type of order to be entered. If charges are pending, contact the court that is hearing the case to ensure that a No Contact order is issued.  Sometimes victims of domestic violence have a criminal no contact order AND a domestic violence protection order.

Restraining Order: This type of civil order can only be filed as a part of another family law action, such as: a divorce (dissolution), legal separation, or child custody case. These orders are optional but can be obtained in addition to a domestic violence protection order, if necessary.

Anti-harassment Order: This civil order is for situations involving a ""continual course of conduct"" or pattern of behavior, that is unlawful or harassing.  Like the domestic violence protection order, it is a two part process.","
Victims of violence who have been, or fear being, assaulted by a family or household member. Includes spouses or former spouses; people who have a child in common; LGBTQI survivors of domestic violence; domestic partners; adults related by blood or marr",,"
None.",,"
Call for assistance or walk in during intake hours.",,,,"Protective / Restraining Orders",,Kitsap,active,,http://www.kitsapgov.com/dc/forms.htm,"F,FT,FT-3000,FT-3000.6900"
408,163,,,,"Provides services which cover county roads/traffic, solid waste, storm water, and waste water.  This includes issues such as reporting sign, pothole, drainage issues, and other questions.

Recycling and Garbage Facilities
  Bainbridge Island - 7215 Don Palmer Ave NE (formerly Vincent Rd)
    W-Su, 10am-4pm
    (206) 842-4882

  Hansville Recycling and Garbage
    7791 NE Ecology Rd, Hansville
    W-M, 8am-3:30pm
    (360) 638-2710

  Olalla Recycling and Garbage
    2850 SE Burley-Olalla Rd, Port Orchard
    F-Tu, 9am-5pm
    (253) 857-5034

  Olympic View Transfer Station
    9300 SW Barney White Rd, Port Orchard
    Daily, 8am-5pm
    (360) 674-2297

  Poulsbo Recycle Center
    21868 NW Viking Way, Poulsbo
    Tu-Sa, 8am-3:30pm
    (360) 779-1044

  Silverdale Recycling and Garbage
    8843 NW Dickey Rd, Silverdale
    Daily, 9am-5pm
    (360) 692-5900","Kitsap County residents.",,None.,,"Call for information.",,,,"Public Works",,Kitsap,active,,http://www.kitsapgov.com/pw,"T,TE,TE-2000,TE-7900,TE-8000,TE-8920,TE-8935,TE-7900.8560,TE-7900.8580,TE-8000.8000,TE-8000.8200,TE-8000.8230,TE-8920.6600,TE-8920.7100,TE-8920.7190,TE-8920.7200,TE-8920.9000,TE-8920.6600-750,TE-8920.7100-170,TE-8920.7100-850,TE-8920.7190-640,TE-8920.7200-300,TE-8920.9000-830"
409,163,,,,"Records public documents, surveys, and maintains public information.  Marriage and business licenses are also provided.","No restrictions.",,"Birth, Divorce, and Death Records - $32 +$1 for each additional page
Marriage License - $64 - Duplicate License - $5
Real Estate and Miscellaneous - $62 +$1 for each additional page
Deed of Trust, Substitution of Trustee, Appointment of Trustee - $14 +",,"Call for more information.",,,,"Recording, Marriage, and Business Licensing",,Kitsap,active,,http://www.kitsapgov.com/aud,"D,DF,DF-4500,DF-7000,DF-4500.1000,DF-7000.5000,DF-7000.8350,DF-7000.8350-450"
410,163,,,,"Handles state cases related to civil, criminal, domestic, guardianship, paternity, mental health, and juvenile matters beyond the scope of the district court.","No Restrictions.",,"Call for more information.",,"Call for more information.",,,,"Superior Court",,Kitsap,active,,http://www.kitsapgov.com/sc,"F,FC,FC-8200,FC-8200.1500,FC-8200.1550,FC-8200.8100,FC-8200.8100-170,FC-8200.8100-650"
411,163,,,,"Provides many possible placements for volunteering throughout Kitsap county.  Positions include education, recreation, clerical, criminal justice, and other volunteer opportunities.","Adults and youth over 14 years of age.",,None.,,"Call for more information.",,,,"Volunteer Services Program",,Kitsap,active,,http://www.kitsapgov.com/volunteer,"P,PX,PX-0400,PX-1500,PX-1850,PX-2000,PX-2100,PX-7000"
412,164,,,,"Provides juvenile detention services including secure detention, community alternatives, and the crisis residential center.","For juvenile offenders.",,None.,,"Call for more information.",,,,"Juvenile Detention - Youth Services Center",,Kitsap,active,,http://www.kitsapgov.com/juv,"F,P,FF,FP,PH,PX,FF-0500,FF-1500,FP-0500,PH-6300,PX-1850,FF-0500.1800,FF-1500.3500,FP-0500.3300,PH-6300.2500,FF-0500.1800-350"
413,166,,,,"Offers a 12 week course for families of individuals with brain disorders.  Weekly classes are structured to help caregivers understand and support individuals with mental illness while maintaining their own well being.  The course is taught by a team of trained NAMI family member volunteers who know what it's like to have a loved one struggling with a brain disorder. Special course for parents and caregivers of children and adolescents with mental health issues.","Family and caregivers of those with mental illnesses.",namiofclallamcounty@gmail.com,None.,,"Call to (360) 452-5244 for information about the upcoming schedule.",,,,"Family to Family Education Program",,Clallam,active,,http://www.namiclallam.org,"R,Y,RR,YJ,RR-5150,YJ-5500,RR-5150.2500"
414,166,,,,"An alliance and support group for the mentally ill and for advocates, friends, and family of the mentally ill of Clallam County (on the Olympic Peninsula).  Please call and leave a message and calls will be returned.","No restrictions.",namiofclallamcounty@gmail.com,"Annual memberships are $35 and $3 for low income.",,"Call for more information.",,,,"Information, Support, and Advocacy",,Clallam,active,,http://www.namiclallam.org,"F,P,T,Y,FT,PN,TD,YJ,FT-1000,PN-8100,TD-1600,YJ-5500,FT-1000.6600,PN-8100.5000,TD-1600.3100,TD-1600.3100-550"
415,166,,,,"NAMI Basics is an educational program for parents and caregivers of children and adolescents living with mental illnesses, including ADHD.  It covers the fundamentals of caring for yourself, for your family and for your child. This is a Free 6-session course that begins each spring and fall.","For parents or caregivers of a child or adolescent with a mental illness.",namiofclallamcounty@gmail.com,None.,,"Call for more information.",,,,"NAMI Basics",,Clallam,active,,http://www.namiclallam.org/services.html,"R,Y,RR,YF,YJ,RR-5150,YF-5000,YJ-5500,RR-5150.2500,YF-5000.1700,YF-5000.1700-050"
416,167,,,,"Offers a 12 week course for families of individuals with brain disorders.  Weekly classes are structured to help caregivers understand and support individuals with mental illness while maintaining their own well being.  The course is taught by a team of trained NAMI family member volunteers who know what it's like to have a loved one struggling with a brain disorder. Special course for parents and caregivers of children and adolescents with mental health issues.","Family and caregivers of those with mental illnesses.",namiofclallamcounty@gmail.com,None.,,"Call to (360) 452-5244 for information about the upcoming schedule.",,,,"Family to Family Education Program",,Clallam,active,,http://www.namiclallam.org,"R,Y,RR,YJ,RR-5150,YJ-5500,RR-5150.2500"
